itemLabel,birthplaceLabel,birthdate,coord,deathplaceLabel,praenomenLabel,gensLabel,cognomenLabel,fatherLabel,motherLabel
Lucius Valerius Publicola,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164144965,Lucius,Valeria gens,,Lucius Valerius Potitus,t2164144968
Gaius Sextilius,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146524,Gaius,Sextilia gens,,t2164146520,t2164146519
Lucius Aquillius Corvus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2131087689,Lucius,Aquillia gens,,t2131087684,t2131087699
Lucius Valerius Flaccus,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164138378,Lucius,Valeria gens,,t2164138376,t2164138374
Marcus Geganius Macerinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2269759311,Marcus,Gegania gens,Macerinus,t2269759304,t2269759307
Marco Valerio Publícola,ancient Rome,-0350-01-01T00:00:00Z,Point(12.48 41.89),t2164138832,Marcus,Valeria gens,,t2164138833,t2164138836
Gaius Quinctius Cincinnatus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2251301161,Gaius,Quinctia gens,Cincinnatus,t2251301160,t2251301159
Titus Quinctius Capitolinus Barbatus,Rome,-0450-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2251608338,Titus,Quinctia gens,Barbatus,Titus Quinctius Capitolinus Barbatus,t2251608335
Titus Quinctius Capitolinus Barbatus,Rome,-0450-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2251608338,Titus,Quinctia gens,Capitolinus,Titus Quinctius Capitolinus Barbatus,t2251608335
Publius Valerius Potitus Publicola,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2125298102,Publius,Valeria gens,,t2125298098,t2125298100
Spurius Papirius Crassus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146613,Spurius,Papiria gens,,t2164146615,t2164146617
Gaius Papirius Crassus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164146395,Gaius,Papiria gens,,t2164146388,t2164146392
Lucius Genucius Aventinensis,Rome,-0400-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2237063495,Lucius,Genucia gens,,t2237063473,t2237063496
Gnaeus Hosidius Geta,Roman Empire,0020-01-01T00:00:00Z,Point(14.0 42.0),Rome,Gnaeus,Hosidia gens,,,
Caeso Duillius,Rome,-0350-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2267933578,Caeso,Duilia gens,,Gaius Duillius Longus,t2267933576
Lars Herminius Aquilinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2121932190,Lars,Herminia gens,Coritinesanus,t2121932198,t2121932192
Quintus Lucilius Balbus,ancient Rome,0000-01-01T00:00:00Z,Point(12.48 41.89),t2214922606,Quintus,Lucilia gens,Balbus,t2214922608,t2214922609
Caius Poetelius Libo Visolus,Rome,-0400-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2164139636,Gaius,Poetelia gens,,t2164139628,t2164139629
Gnaeus Manlius Capitolinus Imperiosus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2125308513,Gnaeus,Manlia gens,Imperiosus,Lucius Manlius Capitolinus Imperiosus,t2125308517
Gnaeus Manlius Capitolinus Imperiosus,ancient Rome,-0400-01-01T00:00:00Z,Point(12.48 41.89),t2125308513,Gnaeus,Manlia gens,Capitolinus,Lucius Manlius Capitolinus Imperiosus,t2125308517
Publius Cornelius Cossus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2125305483,Publius,Cornelia gens,Cossus,t2125305484,t2125305486
Aulus Cornelius Cossus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2129002287,Aulus,Cornelia gens,Cossus,t2129002283,t2129002284
Publius Manlius Capitolinus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2164144654,Publius,Manlia gens,Capitolinus,t2164144659,t2164144657
Publius Postumius Albus Regillensis,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),Bolae,Publius,Postumia gens,Albinus,Aulus Postumius Albus Regillensis,t2110222085
Publius Postumius Albus Regillensis,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),Bolae,Publius,Postumia gens,Regillensis,Aulus Postumius Albus Regillensis,t2110222085
Quintus Servilius Structus Priscus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2255963889,Quintus,Servilia gens,Structus,t2255963894,t2255963895
Quintus Servilius Structus Priscus,Rome,-0600-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2255963889,Quintus,Servilia gens,Priscus,t2255963894,t2255963895
Manius Aemilius Mamercinus,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2172176213,Manius,Aemilia gens,Mamercinus,Mamercus Aemilius Mamercinus,t2172176214
Aurelius Opilius,ancient Rome,-0150-01-01T00:00:00Z,Point(12.48 41.89),t2216229480,t2216229477,Aurelia gens,,t2216229475,t2216229472
Hostus Lucretius Tricipitinus,Rome,-0500-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2111293696,Hostus,Lucretia gens,Q11953114,Lucius Lucretius Tricipitinus,t2111293694
Marcus Valerius Maximus Corvinus,Rome,-0350-01-01T00:00:00Z,Point(12.482777777 41.893055555),t2164138297,Marcus,Valeria gens,,Marcus Valerius Corvus,t2164138303
Appius Claudius Sabinus,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2144408155,Appius,Claudia gens,Crassus,Appius Claudius Crassus,t2144408161
Titus Romilius Rocus Vaticanus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),ancient Rome,Titus,Romilia gens,,t2164171039,t2164171042
Spurius Nautius Rutilus,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2250694123,Spurius,Nautia gens,Rutilus,t2250694130,t2250694129
Marcus Valerius Maximus Lactuca,ancient Rome,-0500-01-01T00:00:00Z,Point(12.48 41.89),t2119191912,Marcus,Valeria gens,Maximus,Manius Valerius Maximus,t2119191919
Marcus Postumius Albinus Regillensis,ancient Rome,-0450-01-01T00:00:00Z,Point(12.48 41.89),t2110222170,Marcus,Postumia gens,Albinus,Aulus Postumius Albus Regillensis,t2110222200
