itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pereLabel,mereLabel
Laurent,,,,,masculin,0500-01-01T00:00:00Z,,0507-01-01T00:00:00Z,Rome,,
Constantin II,,Claudius,Constantinus,Claudii,masculin,0316-02-01T00:00:00Z,Arles,0340-04-01T00:00:00Z,Aquilée,Constantin Ier,Fausta
Valérien,,,,,masculin,0200-01-01T00:00:00Z,,0260-01-01T00:00:00Z,Bishapour,,
Pline le Jeune,Caius,Caecilius,Secundus,Caecilii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
Pline le Jeune,Caius,Plinius,Secundus,Caecilii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
Pline le Jeune,Caius,Caecilius,Secundus,Plinii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
Pline le Jeune,Caius,Plinius,Secundus,Plinii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
Minervina,,,,,féminin,0300-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,,
Eutropia,,,,,féminin,t2266512099,,t2266512096,,,
Valeria Maximilla,,Valeria,,Valerii,féminin,0280-01-01T00:00:00Z,,0312-01-01T00:00:00Z,,Galère,
Constance II,,,,,masculin,0317-08-07T00:00:00Z,Sirmium,0361-11-03T00:00:00Z,Cilicie,Constantin Ier,Fausta
Constance II,,,,,masculin,0317-08-13T00:00:00Z,Sirmium,0361-11-03T00:00:00Z,Cilicie,Constantin Ier,Fausta
Théodose Ier,,,,,masculin,0347-01-12T00:00:00Z,Coca,0395-01-18T00:00:00Z,Milan,Théodose l'Ancien,Thermantia
Théodose Ier,,,,,masculin,0347-01-12T00:00:00Z,Ciudad romana de Itálica,0395-01-18T00:00:00Z,Milan,Théodose l'Ancien,Thermantia
Valentinien Ier,,,,,masculin,0321-07-04T00:00:00Z,Pannonie seconde,0375-11-18T00:00:00Z,Brigetio,Gratian,
Sextus Pompée,Sextus,Pompeius,,Pompeii,masculin,t2212153543,Rome,-0034-01-01T00:00:00Z,Milet,Pompée,Mucia Tertia
Marcus Fulvius Nobilior,Marcus,Fulvius,,Fulvii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t2118999959,Marcus Fulvius Nobilior,t2118999956
Marcus Fulvius Nobilior,Marcus,Fulvius,,Fulvii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t2118999965,Marcus Fulvius Nobilior,t2118999956
Licinius II,t2126259217,Licinius,Licinianus,Licinii,masculin,0315-01-01T00:00:00Z,,0326-01-01T00:00:00Z,,Licinius,Flavia Julia Constantia
Licinius II,t2126259217,Valerius,Licinianus,Licinii,masculin,0315-01-01T00:00:00Z,,0326-01-01T00:00:00Z,,Licinius,Flavia Julia Constantia
Licinius II,t2126259217,Licinius,Licinianus,Valerii,masculin,0315-01-01T00:00:00Z,,0326-01-01T00:00:00Z,,Licinius,Flavia Julia Constantia
Licinius II,t2126259217,Valerius,Licinianus,Valerii,masculin,0315-01-01T00:00:00Z,,0326-01-01T00:00:00Z,,Licinius,Flavia Julia Constantia
Castulus,,,,,masculin,0300-01-01T00:00:00Z,,0286-01-01T00:00:00Z,Rome,,
Ambroise de Milan,,,,,masculin,0339-01-01T00:00:00Z,Trèves,0397-04-05T00:00:00Z,Milan,,
Ambroise de Milan,,,,,masculin,0339-01-01T00:00:00Z,Trèves,0397-04-06T00:00:00Z,Milan,,
Macaire de Scété,,,,,masculin,0300-01-01T00:00:00Z,Haute-Égypte,0391-01-01T00:00:00Z,Ouadi Natroun,,
Macaire de Scété,,,,,masculin,0301-01-01T00:00:00Z,Haute-Égypte,0391-01-01T00:00:00Z,Ouadi Natroun,,
Jude,,,,,masculin,0015-01-01T00:00:00Z,Galilée,0062-01-01T00:00:00Z,Empire Perse,,
Léon Ier,,,,,masculin,0390-01-01T00:00:00Z,Toscane,0461-11-11T00:00:00Z,Rome,,
Léon Ier,,,,,masculin,0390-01-01T00:00:00Z,Toscane,0461-11-12T00:00:00Z,Rome,,
