item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q1215519,Publius Cornelius Maluginensis,Publius,Cornelius,Maluginensis,Cornelii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t1399534107,http://www.wikidata.org/entity/Q1226466,t1399534118
http://www.wikidata.org/entity/Q1215542,Cnaeus Iulius Mento,Cnaeus,Julius,Mento,Julii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259748392,t2259748403,t2259748395,t2259748387
http://www.wikidata.org/entity/Q1215548,Manius Papirius Crassus,Marcus,Papirius,Crassus,Papirii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2259713728,t2259713715,t2259713731,t2259713733
http://www.wikidata.org/entity/Q1215748,Aulus Verginius Tricostus Rutilus,Aulus,Verginius,Rutilus,Verginii,masculin,-0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259720718,t2259720724,http://www.wikidata.org/entity/Q1235715,t2259720723
http://www.wikidata.org/entity/Q1215748,Aulus Verginius Tricostus Rutilus,Aulus,Verginius,Tricostus,Verginii,masculin,-0550-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2259720718,t2259720724,http://www.wikidata.org/entity/Q1235715,t2259720723
http://www.wikidata.org/entity/Q1215801,Publius Sestius Capitolinus Vaticanus,Publius,Sestius,Capito,Sestii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,,http://www.wikidata.org/entity/Q1747689,t2259772117,t2259772114
http://www.wikidata.org/entity/Q1216077,Lucius Atilius Priscus,Lucius,Atilius,Priscus,Atilii,masculin,-0450-01-01T00:00:00Z,t2259712244,-0400-01-01T00:00:00Z,t2259712241,http://www.wikidata.org/entity/Q98103439,t2259712240
http://www.wikidata.org/entity/Q1219030,Publius Valerius Publicola,Publius,Valerius,,Valerii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2259748402,t2259748388,t2259748396
http://www.wikidata.org/entity/Q1219055,Lucius Plautius Venox,Lucius,Plautius,,Plautii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2259737460,t2259737463,t2259737461
http://www.wikidata.org/entity/Q1219081,Postumius Aebutius Helva Cornicen,Postumus,Aebutius,Cornicen,Aebutii,masculin,-0450-01-01T00:00:00Z,t2259774920,t2259774923,t2259774929,http://www.wikidata.org/entity/Q653740,t2259774928
http://www.wikidata.org/entity/Q1219081,Postumius Aebutius Helva Cornicen,Postumus,Aebutius,Helva,Aebutii,masculin,-0450-01-01T00:00:00Z,t2259774920,t2259774923,t2259774929,http://www.wikidata.org/entity/Q653740,t2259774928
http://www.wikidata.org/entity/Q1219158,Marco Valerio Publícola,Marcus,Valerius,,Valerii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2259708402,t2259708403,t2259708406
http://www.wikidata.org/entity/Q1219173,Titus Quinctius Capitolinus Barbatus,Titus,Quinctius,Barbatus,Quinctii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2259711126,http://www.wikidata.org/entity/Q185519,t2259711123
http://www.wikidata.org/entity/Q1219173,Titus Quinctius Capitolinus Barbatus,Titus,Quinctius,Capitolinus,Quinctii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0450-01-01T00:00:00Z,t2259711126,http://www.wikidata.org/entity/Q185519,t2259711123
http://www.wikidata.org/entity/Q1219373,Lucius Genucius Aventinensis,Lucius,Genucius,,Genucii,masculin,-0400-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0400-01-01T00:00:00Z,t2259660223,t2259660218,t2259660224
http://www.wikidata.org/entity/Q1219393,Titus Menenius Agrippae Lanatus,Titus,Menenius,Lanatus,Menenii,masculin,-0500-01-01T00:00:00Z,t2259752298,-0500-01-01T00:00:00Z,t2259752209,http://www.wikidata.org/entity/Q97927851,t2259752326
