oeuvre,oeuvreLabel,titre,auteur,genreLabel
http://www.wikidata.org/entity/Q87213120,Abrégé des Histoires philippiques de Trogue Pompée,,http://www.wikidata.org/entity/Q210853,
http://www.wikidata.org/entity/Q660519,Noctes Atticae,Noctes Atticae,http://www.wikidata.org/entity/Q294800,Q1009974
http://www.wikidata.org/entity/Q932676,Diatessaron,,http://www.wikidata.org/entity/Q272087,
http://www.wikidata.org/entity/Q19074050,Address to the Greeks,Ἐπιστολὴ πρὸς Ἕλληνας,http://www.wikidata.org/entity/Q272087,
http://www.wikidata.org/entity/Q104789146,Controverses,,http://www.wikidata.org/entity/Q273671,controversia
http://www.wikidata.org/entity/Q35160,Odyssée,Ὀδύσσεια,http://www.wikidata.org/entity/Q193058,épopée
http://www.wikidata.org/entity/Q204058,Origines,,http://www.wikidata.org/entity/Q180081,histoire
http://www.wikidata.org/entity/Q204058,Origines,,http://www.wikidata.org/entity/Q180081,essai
http://www.wikidata.org/entity/Q849786,pont de Trajan,,http://www.wikidata.org/entity/Q189375,
http://www.wikidata.org/entity/Q1044767,Métamorphoses,Asinus aureus,http://www.wikidata.org/entity/Q170512,roman picaresque
http://www.wikidata.org/entity/Q1044767,Métamorphoses,Metamorphoseon,http://www.wikidata.org/entity/Q170512,roman picaresque
http://www.wikidata.org/entity/Q1055206,De la mort des persécuteurs,,http://www.wikidata.org/entity/Q209102,essai
http://www.wikidata.org/entity/Q1180565,De agri cultura,De agri cultura,http://www.wikidata.org/entity/Q180081,
http://www.wikidata.org/entity/Q2707099,Satires,Saturae,http://www.wikidata.org/entity/Q193800,
http://www.wikidata.org/entity/Q3061935,Exhortation aux Grecs,Προτρεπτικὸς πρὸς Ἕλληνας,http://www.wikidata.org/entity/Q188883,
http://www.wikidata.org/entity/Q3620725,Apologia,,http://www.wikidata.org/entity/Q170512,
http://www.wikidata.org/entity/Q3704127,De lingua Latina,,http://www.wikidata.org/entity/Q206119,
http://www.wikidata.org/entity/Q3974429,Histoire romaine,,http://www.wikidata.org/entity/Q190368,historiographie latine
http://www.wikidata.org/entity/Q3974431,Histoire romaine,,http://www.wikidata.org/entity/Q185223,
http://www.wikidata.org/entity/Q5295788,Contre Marcion,,http://www.wikidata.org/entity/Q174929,
http://www.wikidata.org/entity/Q12901545,Poliorcétiques,,http://www.wikidata.org/entity/Q189375,
http://www.wikidata.org/entity/Q12901800,Res Gestae,Res gestae,http://www.wikidata.org/entity/Q172198,annales
http://www.wikidata.org/entity/Q12901800,Res Gestae,Rerum gestarum libri XXXI,http://www.wikidata.org/entity/Q172198,annales
http://www.wikidata.org/entity/Q15783827,Aratea,Aratea,http://www.wikidata.org/entity/Q191039,poème
http://www.wikidata.org/entity/Q19187400,La Pharsale,La Pharsale,http://www.wikidata.org/entity/Q188646,
http://www.wikidata.org/entity/Q24883545,Extraits de Théodote,Ἐκ τῶν Θεοδότου καὶ τῆς Ἀνατολικῆς καλουνένης Διδασκαλίας κατὰ Οὐαλεντίνου χρόνους ἐπιτομαί,http://www.wikidata.org/entity/Q188883,
http://www.wikidata.org/entity/Q30027082,Aide-mémoire de Ampelius,,http://www.wikidata.org/entity/Q741160,
http://www.wikidata.org/entity/Q131175,Vulgate,,http://www.wikidata.org/entity/Q44248,
http://www.wikidata.org/entity/Q155952,Almageste,,http://www.wikidata.org/entity/Q34943,traité
http://www.wikidata.org/entity/Q212318,La Cité de Dieu,De ciuitate Dei contra paganos,http://www.wikidata.org/entity/Q8018,
http://www.wikidata.org/entity/Q246289,De oratore,De oratore,http://www.wikidata.org/entity/Q1541,essai
http://www.wikidata.org/entity/Q246289,De oratore,De oratore,http://www.wikidata.org/entity/Q1541,dialogue
http://www.wikidata.org/entity/Q324590,De inventione,,http://www.wikidata.org/entity/Q1541,
http://www.wikidata.org/entity/Q372941,Les Confessions,Confessiones,http://www.wikidata.org/entity/Q8018,autobiographie
http://www.wikidata.org/entity/Q428114,La Germanie,Germania,http://www.wikidata.org/entity/Q2161,ethnographie
http://www.wikidata.org/entity/Q428114,La Germanie,De origine et situ Germanorum,http://www.wikidata.org/entity/Q2161,ethnographie
http://www.wikidata.org/entity/Q428114,La Germanie,Germania,http://www.wikidata.org/entity/Q2161,non-fiction
http://www.wikidata.org/entity/Q428114,La Germanie,De origine et situ Germanorum,http://www.wikidata.org/entity/Q2161,non-fiction
http://www.wikidata.org/entity/Q564358,Annales,Annales,http://www.wikidata.org/entity/Q2161,essai
http://www.wikidata.org/entity/Q564358,Annales,Ab excessu divi Augusti,http://www.wikidata.org/entity/Q2161,essai
http://www.wikidata.org/entity/Q604091,Les Philippiques,Philippicae in Antonium,http://www.wikidata.org/entity/Q1541,
http://www.wikidata.org/entity/Q656161,De Republica,De republica,http://www.wikidata.org/entity/Q1541,essai
http://www.wikidata.org/entity/Q677997,L’Art poétique,,http://www.wikidata.org/entity/Q6197,
http://www.wikidata.org/entity/Q720535,Lettres à Lucilius,,http://www.wikidata.org/entity/Q2054,essai
http://www.wikidata.org/entity/Q720535,Lettres à Lucilius,,http://www.wikidata.org/entity/Q2054,genre épistolaire
http://www.wikidata.org/entity/Q842337,Vies parallèles,Βίοι Παράλληλοι,http://www.wikidata.org/entity/Q41523,biographie
http://www.wikidata.org/entity/Q1055008,Catilinaires,In Catilinam,http://www.wikidata.org/entity/Q1541,discours
http://www.wikidata.org/entity/Q1152283,Pensées pour moi-même,Τὰ εἰς ἑαυτὸν,http://www.wikidata.org/entity/Q1430,non-fiction
http://www.wikidata.org/entity/Q1155892,Ab Urbe condita libri,Ab Urbe condĭta,http://www.wikidata.org/entity/Q2039,historiographie
http://www.wikidata.org/entity/Q1180413,De la Trinité,De Trinitate,http://www.wikidata.org/entity/Q8018,
http://www.wikidata.org/entity/Q1180701,De Legibus,,http://www.wikidata.org/entity/Q1541,essai
http://www.wikidata.org/entity/Q1180721,De Officiis,De Officiis,http://www.wikidata.org/entity/Q1541,essai
http://www.wikidata.org/entity/Q1180753,La Vie heureuse,De vita beata,http://www.wikidata.org/entity/Q2054,essai
http://www.wikidata.org/entity/Q1194350,Géographie,Γεωγραφικὴ Ὑφήγησις,http://www.wikidata.org/entity/Q34943,atlas
http://www.wikidata.org/entity/Q1194350,Géographie,Γεωγραφικὴ Ὑφήγησις,http://www.wikidata.org/entity/Q34943,traité
http://www.wikidata.org/entity/Q1215277,Dialogus de oratoribus,Dialogus de oratoribus,http://www.wikidata.org/entity/Q2161,dialogue
http://www.wikidata.org/entity/Q1229963,Vie des douze Césars,Dē vītā Caesarum,http://www.wikidata.org/entity/Q10133,traité
http://www.wikidata.org/entity/Q1244446,De Vita Agricolae,Agricola,http://www.wikidata.org/entity/Q2161,monographie
http://www.wikidata.org/entity/Q1244446,De Vita Agricolae,De vita et moribus Iulii Agricolae,http://www.wikidata.org/entity/Q2161,monographie
http://www.wikidata.org/entity/Q1246541,Epitoma rei militaris,,http://www.wikidata.org/entity/Q4298,essai
http://www.wikidata.org/entity/Q1247073,Histoires,Historiae,http://www.wikidata.org/entity/Q2161,
http://www.wikidata.org/entity/Q3704067,De Trinitate,De trinitate,http://www.wikidata.org/entity/Q44344,
http://www.wikidata.org/entity/Q3704115,De la colère,,http://www.wikidata.org/entity/Q2054,
http://www.wikidata.org/entity/Q4357914,Entretiens d'Épictète,Αἱ κατ' Ἀρριανὸν Διατριβαί,http://www.wikidata.org/entity/Q31845,
http://www.wikidata.org/entity/Q4357914,Entretiens d'Épictète,Διατριβαί,http://www.wikidata.org/entity/Q31845,
http://www.wikidata.org/entity/Q16604285,Épigrammes,Epigrammata,http://www.wikidata.org/entity/Q2098,satire
http://www.wikidata.org/entity/Q16604285,Épigrammes,Epigrammaton libri XII,http://www.wikidata.org/entity/Q2098,satire
http://www.wikidata.org/entity/Q16604285,Épigrammes,Epigrammata,http://www.wikidata.org/entity/Q2098,épigramme
http://www.wikidata.org/entity/Q16604285,Épigrammes,Epigrammaton libri XII,http://www.wikidata.org/entity/Q2098,épigramme
http://www.wikidata.org/entity/Q27869331,L'Histoire d'Alexandre le Grand,Historiae Alexandri Magni Macedonis,http://www.wikidata.org/entity/Q5959,biographie
http://www.wikidata.org/entity/Q27869331,L'Histoire d'Alexandre le Grand,Historiae Alexandri Magni Macedonis,http://www.wikidata.org/entity/Q5959,chronique
http://www.wikidata.org/entity/Q106160922,Ornithogonia,,http://www.wikidata.org/entity/Q8797,
http://www.wikidata.org/entity/Q106485242,elegia,,http://www.wikidata.org/entity/Q8825,
http://www.wikidata.org/entity/Q87771449,Descriptions of Statues,,http://www.wikidata.org/entity/Q713482,
http://www.wikidata.org/entity/Q442,Histoire naturelle,Naturalis historia,http://www.wikidata.org/entity/Q82778,encyclopédie
http://www.wikidata.org/entity/Q44276,Guerre des Juifs,La Guerre des Juifs : roman,http://www.wikidata.org/entity/Q134461,roman historique
http://www.wikidata.org/entity/Q246732,Satyricon,Satyricon,http://www.wikidata.org/entity/Q47180,Menippean satire
http://www.wikidata.org/entity/Q246732,Satyricon,Satyricon,http://www.wikidata.org/entity/Q47180,roman érotique
http://www.wikidata.org/entity/Q331135,Contre Apion,Contra Apionem,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q331135,Contre Apion,In Apionem,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q331135,Contre Apion,Φλαΐου Ἰωσήπου περὶ ἀρχαιότητος Ἰουδαίων,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1232616,Antiquités judaïques,Ἰουδαϊκὴ ἀρχαιολογία,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1232616,Antiquités judaïques,Antiquitates Judaicae,http://www.wikidata.org/entity/Q134461,
http://www.wikidata.org/entity/Q1235854,Histoire ecclésiastique,,http://www.wikidata.org/entity/Q142999,
http://www.wikidata.org/entity/Q2099521,Lettres de Pline le Jeune,,http://www.wikidata.org/entity/Q168707,genre épistolaire
http://www.wikidata.org/entity/Q2915316,Autobiographie,Ἰωσήπου βίος,http://www.wikidata.org/entity/Q134461,autobiographie
http://www.wikidata.org/entity/Q67567962,Onomasticon (Eusebius),Περὶ τῶν τοπικῶν ὀνομάτων τῶν ἐν τῇ Θείᾳ Γραφῇ,http://www.wikidata.org/entity/Q142999,Onomasticon
http://www.wikidata.org/entity/Q898808,Pasteur d'Hermas,,http://www.wikidata.org/entity/Q1799472,
http://www.wikidata.org/entity/Q3738147,Fabulae,,http://www.wikidata.org/entity/Q1231590,mythographie
http://www.wikidata.org/entity/Q12899580,De medicina praecepta,,http://www.wikidata.org/entity/Q933792,
http://www.wikidata.org/entity/Q1219433,Punica,Punica,http://www.wikidata.org/entity/Q316123,épopée
http://www.wikidata.org/entity/Q1248970,Abrégé de l'histoire romaine,Breviarium ab urbe condita,http://www.wikidata.org/entity/Q314694,historiographie
http://www.wikidata.org/entity/Q1272518,Octavius,,http://www.wikidata.org/entity/Q319423,dialogue
http://www.wikidata.org/entity/Q3006491,Ora maritima,,http://www.wikidata.org/entity/Q366793,
http://www.wikidata.org/entity/Q3395604,Polyhistor,,http://www.wikidata.org/entity/Q520487,
http://www.wikidata.org/entity/Q3618692,Antigone,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3623430,La Justice des armes,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3738259,Factorum ac dictorum memorabilium libri IX,,http://www.wikidata.org/entity/Q379991,
http://www.wikidata.org/entity/Q3853639,Médée,,http://www.wikidata.org/entity/Q311287,
http://www.wikidata.org/entity/Q3901559,Philoctète,,http://www.wikidata.org/entity/Q311287,
