item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q727886,Marcus Valerius Maximianus,Marcus,Valerius,,Valerii,masculin,0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15906,t2303561388,,,
http://www.wikidata.org/entity/Q728245,Saint Marcian of Syracuse,,,,,masculin,0050-01-01T00:00:00Z,http://www.wikidata.org/entity/Q200441,0068-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13670,,
http://www.wikidata.org/entity/Q728335,Lucius Caninius Gallus,Lucius,Caninius,,Caninii,masculin,-0100-01-01T00:00:00Z,,-0060-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1385959,
http://www.wikidata.org/entity/Q728349,Severinus,,Flavius,,Flavii,masculin,0450-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q728527,Gaius Vibius Marsus,Caius,Vibius,Marsus,Vibii,masculin,-0100-01-01T00:00:00Z,,-0060-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q728676,Caius Aemilius Mamercinus,Caius,Aemilius,,Aemilii,masculin,-0450-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0450-01-01T00:00:00Z,t2166421802,t2166421803,t2166421799
http://www.wikidata.org/entity/Q728918,Spurius Furius Medullinus Fusius,Spurius,Furius,Medullinus,Furii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2119068970,t2119069002
http://www.wikidata.org/entity/Q728918,Spurius Furius Medullinus Fusius,Spurius,Furius,Fusus,Furii,masculin,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0500-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,t2119068970,t2119069002
http://www.wikidata.org/entity/Q1088287,Quintus Haterius,Quintus,Haterius,,Haterii,masculin,-0060-01-01T00:00:00Z,,0026-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1091296,Publius Cornelius Rufinus,Publius,Cornelius,,Cornelii,masculin,-0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0350-01-01T00:00:00Z,t2166414674,t2166414675,t2166414668
http://www.wikidata.org/entity/Q1091308,Sosthénès,,,,,masculin,,,0100-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1093812,Saint Isidora,,,,,féminin,0301-01-01T00:00:00Z,,0365-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1094373,Arruns,Arruns,Tarquinius,,Tarquinii,masculin,-0600-01-01T00:00:00Z,t2222716854,-0508-01-01T00:00:00Z,http://www.wikidata.org/entity/Q128246,http://www.wikidata.org/entity/Q193047,http://www.wikidata.org/entity/Q446260
http://www.wikidata.org/entity/Q1095889,Lucius Aelius Lamia,Lucius,Aelius,Lamia,Aelii,masculin,-0050-01-01T00:00:00Z,,-0020-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q25396674,
http://www.wikidata.org/entity/Q1096207,Clateus,,,,,masculin,,,0064-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1097304,Claudia Pulcheria,,Claudia,,Claudii,féminin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,,t2294804193,http://www.wikidata.org/entity/Q445785,http://www.wikidata.org/entity/Q583523
http://www.wikidata.org/entity/Q1098296,Claude Apollinaire,,Claudius,,Claudii,masculin,0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7428276,0200-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1098323,Claudius Maximus,,Claudius,,Claudii,masculin,0200-01-01T00:00:00Z,,0200-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1102071,Jules Polyen,t2161801930,Julius,,Julii,masculin,,,,,,
http://www.wikidata.org/entity/Q1102155,Clodia,,Claudia,,Claudii,féminin,-0093-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0044-01-01T00:00:00Z,t2296961386,http://www.wikidata.org/entity/Q531923,http://www.wikidata.org/entity/Q6454825
http://www.wikidata.org/entity/Q1102286,Juventius,t2119075922,Juventius,,Iuventii,masculin,,http://www.wikidata.org/entity/Q1747689,,t2119075919,t2119075924,t2119075926
http://www.wikidata.org/entity/Q1112719,Sextus Appuleius,Sextus,Appuleius,,Appuleii,masculin,-0060-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0007-01-01T00:00:00Z,t2144249070,http://www.wikidata.org/entity/Q2469317,http://www.wikidata.org/entity/Q517380
http://www.wikidata.org/entity/Q1114524,Flavius Liberalis,t2194100463,Flavius,,Flavii,masculin,-0050-01-01T00:00:00Z,http://www.wikidata.org/entity/Q597347,,,,
http://www.wikidata.org/entity/Q1114579,Edobich,,,,,masculin,0400-01-01T00:00:00Z,,0411-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1115051,Saturninus,,,,,masculin,,,0201-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1115070,Virius Nepotianus,t2264679330,Virius,Nepotianus,Virii,masculin,0250-01-01T00:00:00Z,,0337-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q1115768,Commodien,,,,,masculin,0300-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,,
