item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere,epouse
http://www.wikidata.org/entity/Q635,Cléopâtre VII,,,,,féminin,-0068-01-01T00:00:00Z,http://www.wikidata.org/entity/Q87,-0029-08-10T00:00:00Z,http://www.wikidata.org/entity/Q87,http://www.wikidata.org/entity/Q39991,http://www.wikidata.org/entity/Q40242,
http://www.wikidata.org/entity/Q1411,Claude,Tiberius,Claudius,Nero,Claudii,masculin,-0009-07-30T00:00:00Z,http://www.wikidata.org/entity/Q665,0054-10-11T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q156778,http://www.wikidata.org/entity/Q229836,
http://www.wikidata.org/entity/Q1411,Claude,Tiberius,Claudius,Drusus,Claudii,masculin,-0009-07-30T00:00:00Z,http://www.wikidata.org/entity/Q665,0054-10-11T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q156778,http://www.wikidata.org/entity/Q229836,
http://www.wikidata.org/entity/Q2259,Julia Caesaris filia,,Julia,,Julii,féminin,-0038-10-28T00:00:00Z,http://www.wikidata.org/entity/Q220,0014-01-01T00:00:00Z,http://www.wikidata.org/entity/Q8471,http://www.wikidata.org/entity/Q1405,http://www.wikidata.org/entity/Q233444,
http://www.wikidata.org/entity/Q43107,Dioclétien,Caius,Valerius,,,masculin,0244-12-22T00:00:00Z,http://www.wikidata.org/entity/Q1258998,0311-12-03T00:00:00Z,http://www.wikidata.org/entity/Q1663,,,
http://www.wikidata.org/entity/Q45530,Eutropia,,,,,féminin,t2219404944,,t2219404941,,,,
http://www.wikidata.org/entity/Q46418,Constance II,,,,,masculin,0317-08-07T00:00:00Z,http://www.wikidata.org/entity/Q833060,0361-11-03T00:00:00Z,http://www.wikidata.org/entity/Q620864,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063,
http://www.wikidata.org/entity/Q46418,Constance II,,,,,masculin,0317-08-13T00:00:00Z,http://www.wikidata.org/entity/Q833060,0361-11-03T00:00:00Z,http://www.wikidata.org/entity/Q620864,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063,
http://www.wikidata.org/entity/Q48174,Marcus Vipsanius Agrippa,Marcus,Vipsanius,Agrippa,Vipsanii,masculin,-0062-01-01T00:00:00Z,http://www.wikidata.org/entity/Q639912,-0011-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1438,http://www.wikidata.org/entity/Q2914316,t2275742672,
http://www.wikidata.org/entity/Q152626,Caecilia Pomponia Attica,,Caecilia,Attica,Caecilii,féminin,-0054-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0031-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q311733,http://www.wikidata.org/entity/Q2292963,
http://www.wikidata.org/entity/Q152626,Caecilia Pomponia Attica,,Pomponia,Attica,Caecilii,féminin,-0054-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0031-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q311733,http://www.wikidata.org/entity/Q2292963,
http://www.wikidata.org/entity/Q152626,Caecilia Pomponia Attica,,Caecilia,Attica,Caecilii,féminin,-0054-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,t2280468616,,http://www.wikidata.org/entity/Q311733,http://www.wikidata.org/entity/Q2292963,
