item,occupationLabel
http://www.wikidata.org/entity/Q46762,militaire
http://www.wikidata.org/entity/Q46762,personnalité politique
http://www.wikidata.org/entity/Q46768,personnalité politique
http://www.wikidata.org/entity/Q46780,personnalité politique
http://www.wikidata.org/entity/Q46814,personnalité politique
http://www.wikidata.org/entity/Q46821,personnalité politique
http://www.wikidata.org/entity/Q46837,dirigeant
http://www.wikidata.org/entity/Q46840,dirigeant
http://www.wikidata.org/entity/Q46846,personnalité politique
http://www.wikidata.org/entity/Q47130,écrivain
http://www.wikidata.org/entity/Q47130,poète
http://www.wikidata.org/entity/Q47130,dramaturge
http://www.wikidata.org/entity/Q47130,annaliste
http://www.wikidata.org/entity/Q47130,historien romain de l'antiquité
http://www.wikidata.org/entity/Q47144,clerc
http://www.wikidata.org/entity/Q47154,écrivain
http://www.wikidata.org/entity/Q47154,poète
http://www.wikidata.org/entity/Q47154,philosophe
http://www.wikidata.org/entity/Q47160,acteur
http://www.wikidata.org/entity/Q47160,poète
http://www.wikidata.org/entity/Q47160,dramaturge
http://www.wikidata.org/entity/Q47160,auteur comique
http://www.wikidata.org/entity/Q47163,écrivain
http://www.wikidata.org/entity/Q47163,architecte
http://www.wikidata.org/entity/Q47163,militaire
http://www.wikidata.org/entity/Q47163,ingénieur militaire
http://www.wikidata.org/entity/Q47163,ingénieur civil
http://www.wikidata.org/entity/Q47180,écrivain
http://www.wikidata.org/entity/Q47180,militaire
http://www.wikidata.org/entity/Q47180,poète
http://www.wikidata.org/entity/Q47180,personnalité politique
http://www.wikidata.org/entity/Q47180,philosophe
http://www.wikidata.org/entity/Q48174,écrivain
http://www.wikidata.org/entity/Q48174,architecte
http://www.wikidata.org/entity/Q48174,homme politique de la Rome antique
http://www.wikidata.org/entity/Q48174,militaire
http://www.wikidata.org/entity/Q48438,dragonslayer
http://www.wikidata.org/entity/Q48438,soldat
http://www.wikidata.org/entity/Q51380,homme politique de la Rome antique
http://www.wikidata.org/entity/Q51380,militaire
http://www.wikidata.org/entity/Q51673,homme politique de la Rome antique
http://www.wikidata.org/entity/Q51673,militaire
http://www.wikidata.org/entity/Q52166,écrivain
http://www.wikidata.org/entity/Q52166,poète
http://www.wikidata.org/entity/Q54798,prêtre catholique
http://www.wikidata.org/entity/Q54798,auteur
http://www.wikidata.org/entity/Q59137,philosophe
http://www.wikidata.org/entity/Q59138,écrivain
http://www.wikidata.org/entity/Q59138,poète
http://www.wikidata.org/entity/Q59138,historien
http://www.wikidata.org/entity/Q59138,biographe
http://www.wikidata.org/entity/Q59138,philosophe
http://www.wikidata.org/entity/Q59138,historien de la philosophie
http://www.wikidata.org/entity/Q59559,homme politique de la Rome antique
http://www.wikidata.org/entity/Q60461,écrivain
http://www.wikidata.org/entity/Q63389,personnalité politique
http://www.wikidata.org/entity/Q63389,soldat
http://www.wikidata.org/entity/Q63447,homme politique de la Rome antique
http://www.wikidata.org/entity/Q63447,militaire
http://www.wikidata.org/entity/Q63533,dirigeant
http://www.wikidata.org/entity/Q64612,homme politique de la Rome antique
http://www.wikidata.org/entity/Q64612,militaire
http://www.wikidata.org/entity/Q68880,chef de guerre
http://www.wikidata.org/entity/Q73354,homme politique de la Rome antique
http://www.wikidata.org/entity/Q74243,écrivain
http://www.wikidata.org/entity/Q74243,militaire
http://www.wikidata.org/entity/Q74243,personnalité politique
http://www.wikidata.org/entity/Q74243,historien
http://www.wikidata.org/entity/Q75826,homme politique de la Rome antique
http://www.wikidata.org/entity/Q80513,musicien
http://www.wikidata.org/entity/Q82176,personnalité politique
http://www.wikidata.org/entity/Q82778,naturaliste
http://www.wikidata.org/entity/Q82778,écrivain
http://www.wikidata.org/entity/Q82778,militaire
http://www.wikidata.org/entity/Q82778,poète
http://www.wikidata.org/entity/Q82778,historien
http://www.wikidata.org/entity/Q82778,philosophe
http://www.wikidata.org/entity/Q93734,homme politique de la Rome antique
http://www.wikidata.org/entity/Q93734,militaire
http://www.wikidata.org/entity/Q94504,homme politique de la Rome antique
http://www.wikidata.org/entity/Q94504,militaire
http://www.wikidata.org/entity/Q102131,prêtre catholique
http://www.wikidata.org/entity/Q103101,pape
http://www.wikidata.org/entity/Q103101,écrivain
http://www.wikidata.org/entity/Q103101,prêtre catholique
http://www.wikidata.org/entity/Q103860,personnalité politique
http://www.wikidata.org/entity/Q104475,poète
http://www.wikidata.org/entity/Q104475,homme politique de la Rome antique
http://www.wikidata.org/entity/Q104475,militaire
http://www.wikidata.org/entity/Q105452,homme politique de la Rome antique
http://www.wikidata.org/entity/Q105452,militaire
http://www.wikidata.org/entity/Q106026,ascète
http://www.wikidata.org/entity/Q106026,presbytre
http://www.wikidata.org/entity/Q106026,théologien
http://www.wikidata.org/entity/Q109594,écrivain
http://www.wikidata.org/entity/Q109594,poète
http://www.wikidata.org/entity/Q109594,historien
http://www.wikidata.org/entity/Q109594,biographe
http://www.wikidata.org/entity/Q109594,historien romain de l'antiquité
http://www.wikidata.org/entity/Q109598,poète
http://www.wikidata.org/entity/Q1048,écrivain
http://www.wikidata.org/entity/Q1048,poète
http://www.wikidata.org/entity/Q1048,personnalité politique
http://www.wikidata.org/entity/Q1048,dirigeant
http://www.wikidata.org/entity/Q1048,chef militaire
http://www.wikidata.org/entity/Q1048,prêtre romain
http://www.wikidata.org/entity/Q1048,mémorialiste
http://www.wikidata.org/entity/Q1048,orateur
http://www.wikidata.org/entity/Q1048,homme politique de la Rome antique
http://www.wikidata.org/entity/Q1048,militaire
http://www.wikidata.org/entity/Q1048,historien romain de l'antiquité
http://www.wikidata.org/entity/Q1398,poète
http://www.wikidata.org/entity/Q1405,homme politique de la Rome antique
http://www.wikidata.org/entity/Q1405,militaire
http://www.wikidata.org/entity/Q1407,personnalité politique
http://www.wikidata.org/entity/Q1407,soldat
http://www.wikidata.org/entity/Q1409,personnalité politique
http://www.wikidata.org/entity/Q1411,écrivain
http://www.wikidata.org/entity/Q1411,personnalité politique
http://www.wikidata.org/entity/Q1411,historien
http://www.wikidata.org/entity/Q1411,augure
http://www.wikidata.org/entity/Q1414,militaire
http://www.wikidata.org/entity/Q1414,personnalité politique
http://www.wikidata.org/entity/Q1416,personnalité politique
http://www.wikidata.org/entity/Q1417,militaire
http://www.wikidata.org/entity/Q1417,personnalité politique
http://www.wikidata.org/entity/Q1419,militaire
http://www.wikidata.org/entity/Q1419,personnalité politique
http://www.wikidata.org/entity/Q1421,militaire
http://www.wikidata.org/entity/Q1421,personnalité politique
http://www.wikidata.org/entity/Q1424,personnalité politique
http://www.wikidata.org/entity/Q1425,personnalité politique
http://www.wikidata.org/entity/Q1425,officier
http://www.wikidata.org/entity/Q1425,homme d'État
http://www.wikidata.org/entity/Q1427,militaire
http://www.wikidata.org/entity/Q1427,poète
http://www.wikidata.org/entity/Q1427,personnalité politique
http://www.wikidata.org/entity/Q1427,souverain
http://www.wikidata.org/entity/Q1429,personnalité politique
http://www.wikidata.org/entity/Q1430,écrivain
http://www.wikidata.org/entity/Q1430,personnalité politique
http://www.wikidata.org/entity/Q1430,philosophe
http://www.wikidata.org/entity/Q1433,personnalité politique
http://www.wikidata.org/entity/Q1434,dirigeant
http://www.wikidata.org/entity/Q1436,personnalité politique
http://www.wikidata.org/entity/Q1436,soldat
http://www.wikidata.org/entity/Q1440,militaire
http://www.wikidata.org/entity/Q1440,personnalité politique
http://www.wikidata.org/entity/Q1442,militaire
http://www.wikidata.org/entity/Q1442,personnalité politique
http://www.wikidata.org/entity/Q1446,personnalité politique
http://www.wikidata.org/entity/Q1541,écrivain
http://www.wikidata.org/entity/Q1541,avocat
http://www.wikidata.org/entity/Q1541,poète
http://www.wikidata.org/entity/Q1541,personnalité politique
http://www.wikidata.org/entity/Q1541,juriste
http://www.wikidata.org/entity/Q1541,prêtre romain
http://www.wikidata.org/entity/Q1541,philosophe
