item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q346773,Cingonius Varro,,,,,masculin,0100-01-01T00:00:00Z,,0068-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q347208,Lucius Virius Lupus Julianus,Lucius,Virius,Julianus,Virii,masculin,0200-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q347208,Lucius Virius Lupus Julianus,Lucius,Virius,Lupus,Virii,masculin,0200-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q719001,Caius Oppius Sabinus,Caius,Oppius,,Oppii,masculin,0050-01-01T00:00:00Z,,0085-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q12294870,
http://www.wikidata.org/entity/Q235090,Julia Mamaea,,Julia,,Julii,féminin,0180-01-01T00:00:00Z,Homs,0235-01-01T00:00:00Z,Mayence,http://www.wikidata.org/entity/Q1232755,http://www.wikidata.org/entity/Q231258
http://www.wikidata.org/entity/Q235586,Julia Drusilla,,Julia,Drusilla,Julii,féminin,0039-09-02T00:00:00Z,Rome,0041-01-22T00:00:00Z,mont Palatin,http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/entity/Q240928
http://www.wikidata.org/entity/Q236259,Plautia Urgulanilla,,Plautia,,Plautii,féminin,-0007-01-01T00:00:00Z,,t2263879358,,http://www.wikidata.org/entity/Q1232026,http://www.wikidata.org/entity/Q12284680
http://www.wikidata.org/entity/Q611287,Lucius Pompeius Vopiscus,Lucius,Pompeius,Vopiscus,Pompeii,masculin,0050-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q859652,Cerdon,,,,,masculin,0200-01-01T00:00:00Z,Syrie,0200-01-01T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q868066,Cnaeus Domitius Afer,Cnaeus,Domitius,Afer,Domitii,masculin,-0015-01-01T00:00:00Z,Nemausus,0059-01-01T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q878550,Marcus Aemilius Lepidus,Marcus,Aemilius,,Aemilii,masculin,0014-01-01T00:00:00Z,Rome,0039-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q703580,http://www.wikidata.org/entity/Q236459
http://www.wikidata.org/entity/Q882953,Lucius Calpurnius Piso Frugi Licinianus,Lucius,Calpurnius,Piso,Calpurnii,masculin,0038-01-01T00:00:00Z,,0069-01-15T00:00:00Z,Rome,http://www.wikidata.org/entity/Q1233627,http://www.wikidata.org/entity/Q774986
http://www.wikidata.org/entity/Q882953,Lucius Calpurnius Piso Frugi Licinianus,Lucius,Calpurnius,Frugi,Calpurnii,masculin,0038-01-01T00:00:00Z,,0069-01-15T00:00:00Z,Rome,http://www.wikidata.org/entity/Q1233627,http://www.wikidata.org/entity/Q774986
http://www.wikidata.org/entity/Q882953,Lucius Calpurnius Piso Frugi Licinianus,Lucius,Calpurnius,Licinianus,Calpurnii,masculin,0038-01-01T00:00:00Z,,0069-01-15T00:00:00Z,Rome,http://www.wikidata.org/entity/Q1233627,http://www.wikidata.org/entity/Q774986
http://www.wikidata.org/entity/Q882958,Publius Licinius Egnatius Marinianus,Publius,Egnatius,,Egnatii,masculin,0300-01-01T00:00:00Z,,0268-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q104475,http://www.wikidata.org/entity/Q239015
http://www.wikidata.org/entity/Q887773,Cyriadès,,,,,masculin,0200-01-01T00:00:00Z,,0300-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q891831,Titus Sextius Cornelius Africanus,Titus,Cornelius,,Cornelii,masculin,0050-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q6389488,
http://www.wikidata.org/entity/Q897523,Papirius Fabianus,t1397135740,Papirius,,Papirii,masculin,t1397135744,,t1397135708,,,
http://www.wikidata.org/entity/Q899739,Lucius Ceionius Commodus,Lucius,Ceionius,,Ceionii,masculin,0050-01-01T00:00:00Z,Étrurie,,,,
http://www.wikidata.org/entity/Q214765,Varus,Publius,Quinctilius,Varus,Quinctilii,masculin,-0045-01-01T00:00:00Z,Crémone,0009-01-01T00:00:00Z,forêt de Teutberg,http://www.wikidata.org/entity/Q611638,t2254854795
http://www.wikidata.org/entity/Q221223,Hygin le Gromatique,,,,,masculin,0100-01-01T00:00:00Z,,0200-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q221951,Achille Tatius,,,,,masculin,0200-01-01T00:00:00Z,Alexandrie,0300-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q229246,Julia Domna,,Julia,,Julii,féminin,0160-01-01T00:00:00Z,Homs,0217-01-01T00:00:00Z,Antioche-sur-l'Oronte,http://www.wikidata.org/entity/Q1163372,
http://www.wikidata.org/entity/Q229413,Agrippine l'Aînée,,Vipsania,Agrippina,Vipsanii,féminin,-0013-10-21T00:00:00Z,Athènes,0033-10-16T00:00:00Z,Ventotene,http://www.wikidata.org/entity/Q48174,http://www.wikidata.org/entity/Q2259
http://www.wikidata.org/entity/Q229483,Octavie la Jeune,,Octavia,,Octavii,féminin,-0068-01-01T00:00:00Z,Nola,-0010-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q363084,http://www.wikidata.org/entity/Q231696
http://www.wikidata.org/entity/Q229871,Messaline,,Valeria,Messalina,Valerii,féminin,0025-01-01T00:00:00Z,Rome,0048-01-01T00:00:00Z,jardins de Lucullus,http://www.wikidata.org/entity/Q1246807,http://www.wikidata.org/entity/Q268964
http://www.wikidata.org/entity/Q232716,Sabine,,Vibia,Sabina,Vibii,féminin,0083-01-01T00:00:00Z,,0136-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6697631,http://www.wikidata.org/entity/Q262368
http://www.wikidata.org/entity/Q232716,Sabine,,Vibia,Sabina,Vibii,féminin,0086-01-01T00:00:00Z,,0136-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q6697631,http://www.wikidata.org/entity/Q262368
http://www.wikidata.org/entity/Q233444,Scribonia,,Scribonia,,Scribonii,féminin,-0069-01-01T00:00:00Z,,0016-01-01T00:00:00Z,Reggio de Calabre,http://www.wikidata.org/entity/Q1159617,http://www.wikidata.org/entity/Q61707798
http://www.wikidata.org/entity/Q233578,Bruttia Crispina,,Bruttia,Crispina,Bruttii,féminin,0164-01-01T00:00:00Z,Rome,0191-01-01T00:00:00Z,Capri,http://www.wikidata.org/entity/Q709817,
http://www.wikidata.org/entity/Q233704,Antonia l'Aînée,,Antonia,,Antonii,féminin,-0038-01-01T00:00:00Z,Rome,0032-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q51673,http://www.wikidata.org/entity/Q229483
http://www.wikidata.org/entity/Q234665,Livilla,,Claudia,,Claudii,féminin,-0012-01-01T00:00:00Z,Lyon,0031-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q156778,http://www.wikidata.org/entity/Q229836
http://www.wikidata.org/entity/Q234665,Livilla,,Livia,,Claudii,féminin,-0012-01-01T00:00:00Z,Lyon,0031-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q156778,http://www.wikidata.org/entity/Q229836
http://www.wikidata.org/entity/Q928239,Cassius Dio,t2258801573,Cassius,,Cassii,masculin,0250-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Aelius,Tubero,Aelii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q550450,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Seius,Tubero,Aelii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q550450,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Aelius,Tubero,Seii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q550450,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Seius,Tubero,Seii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q550450,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Aelius,Tubero,Aelii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q950770,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Seius,Tubero,Aelii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q950770,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Aelius,Tubero,Seii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q950770,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928302,Lucius Seius Tubero,Lucius,Seius,Tubero,Seii,masculin,-0024-01-01T00:00:00Z,,,,http://www.wikidata.org/entity/Q950770,http://www.wikidata.org/entity/Q98242517
http://www.wikidata.org/entity/Q928894,Publius Cornelius Scipio,Publius,Cornelius,,Cornelii,masculin,-0049-01-01T00:00:00Z,,-0006-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1269233,
http://www.wikidata.org/entity/Q931802,Varus le Jeune,Publius,Quinctilius,Varus,Quinctilii,masculin,0004-01-01T00:00:00Z,,0027-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q214765,http://www.wikidata.org/entity/Q449587
http://www.wikidata.org/entity/Q940041,Marcus Junius Silanus,Marcus,Junius,Silanus,Junii,masculin,-0100-01-01T00:00:00Z,Rome,-0010-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q518928,http://www.wikidata.org/entity/Q232229
http://www.wikidata.org/entity/Q333064,Marcus Peducaeus Plautius Quintillus,Marcus,Plautius,Quintillus,Plautii,masculin,0200-01-01T00:00:00Z,,0205-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q717414,http://www.wikidata.org/entity/Q5057381
