item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q2186,Romulus,,,,,masculin,-0770-01-01T00:00:00Z,Albe la Longue,-0715-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q112,http://www.wikidata.org/entity/Q219936
http://www.wikidata.org/entity/Q192998,Servius Tullius,Servius,Tullius,,Tullii,masculin,-0600-01-01T00:00:00Z,Rome,-0534-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q98365867,http://www.wikidata.org/entity/Q2013785
http://www.wikidata.org/entity/Q193047,Tarquin le Superbe,Lucius,Tarquinius,,Tarquinii,masculin,-0600-01-01T00:00:00Z,t2267617287,-0494-01-01T00:00:00Z,Cumes,http://www.wikidata.org/entity/Q13030457,t2267617286
http://www.wikidata.org/entity/Q200031,Numa Pompilius,Numa,Pompilius,,Pompilii,masculin,-0752-04-13T00:00:00Z,Cures Sabini,-0672-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q98350736,t2241088556
http://www.wikidata.org/entity/Q200859,Tullus Hostilius,Tullus,Hostilius,,Hostilii,masculin,-0709-01-01T00:00:00Z,,-0640-01-01T00:00:00Z,,t2254681015,t2254681013
http://www.wikidata.org/entity/Q206741,Ancus Marcius,Q98660919,Marcius,,Marcii,masculin,-0674-01-01T00:00:00Z,t2254706031,-0615-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q764629,http://www.wikidata.org/entity/Q21710836
http://www.wikidata.org/entity/Q212671,Tarquin l'Ancien,Lucius,Tarquinius,Priscus,Tarquinii,masculin,-0700-01-01T00:00:00Z,Tarquinia,-0577-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q458754,t2254606073
http://www.wikidata.org/entity/Q223440,Lucius Junius Brutus,Lucius,Junius,Brutus,Junii,masculin,-0539-01-01T00:00:00Z,t2266694249,-0508-01-01T00:00:00Z,Silva Arsia,http://www.wikidata.org/entity/Q3290274,http://www.wikidata.org/entity/Q3515798
http://www.wikidata.org/entity/Q229432,Lucrèce,,Lucretii,,Lucretii,féminin,-0600-01-01T00:00:00Z,t2284856701,-0508-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q705766,http://www.wikidata.org/entity/Q105763856
http://www.wikidata.org/entity/Q273622,Tullia Major,,Tullia,,Tullii,féminin,-0600-01-01T00:00:00Z,t846655876,-0600-01-01T00:00:00Z,Rome,http://www.wikidata.org/entity/Q192998,http://www.wikidata.org/entity/Q12296044
http://www.wikidata.org/entity/Q287980,Assemblées de la Monarchie romaine,,,,,,,,,,,
http://www.wikidata.org/entity/Q326197,rois de Rome,,,,,,,,,,,
