item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q658745,Catius,t2255219276,Catius,,Catii,masculin,,http://www.wikidata.org/entity/Q690221,t2255219273,http://www.wikidata.org/entity/Q220,t2255219277,t2255219280
http://www.wikidata.org/entity/Q664229,Lucius Cornelius Cinna,Lucius,Cornelius,Cinna,Cornelii,masculin,-0076-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0020-01-01T00:00:00Z,t2258116382,http://www.wikidata.org/entity/Q646993,t2258116384
http://www.wikidata.org/entity/Q672403,Manius Acilius Glabrio,Manius,Acilius,,Acilii,masculin,0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,0095-01-01T00:00:00Z,t2275721469,http://www.wikidata.org/entity/Q341435,t2275721464
http://www.wikidata.org/entity/Q677968,Lucius Vorenus,Lucius,Vorenus,,Voreni,masculin,-0100-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,,t2258140744,t2258140747,t2258140746
http://www.wikidata.org/entity/Q703346,Marcus Livius Drusus,Marcus,Livius,Drusus,Livii,masculin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0108-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,http://www.wikidata.org/entity/Q1270114,t2268499062
http://www.wikidata.org/entity/Q703354,Lucius Caecilius Metellus Calvus,Lucius,Caecilius,Calvus,Caecilii,masculin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0200-01-01T00:00:00Z,t2258290562,http://www.wikidata.org/entity/Q929498,t2258290556
http://www.wikidata.org/entity/Q703354,Lucius Caecilius Metellus Calvus,Lucius,Caecilius,Metellus,Caecilii,masculin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0200-01-01T00:00:00Z,t2258290562,http://www.wikidata.org/entity/Q929498,t2258290556
http://www.wikidata.org/entity/Q703362,Lucius Caecilius Metellus Delmaticus,Lucius,Caecilius,Metellus,Caecilii,masculin,-0160-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0102-01-01T00:00:00Z,t2258221322,http://www.wikidata.org/entity/Q703354,t2258221317
http://www.wikidata.org/entity/Q704362,Quintus Caecilius Metellus Nepos,Quintus,Caecilius,Nepos,Caecilii,masculin,-0099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0100-01-01T00:00:00Z,t2258228735,http://www.wikidata.org/entity/Q713394,t2258228737
http://www.wikidata.org/entity/Q704362,Quintus Caecilius Metellus Nepos,Quintus,Caecilius,Metellus,Caecilii,masculin,-0099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1747689,-0100-01-01T00:00:00Z,t2258228735,http://www.wikidata.org/entity/Q713394,t2258228737
http://www.wikidata.org/entity/Q705372,Caius Norbanus,Caius,Norbanus,Balbus,Norbani,masculin,-0200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,-0081-01-01T00:00:00Z,http://www.wikidata.org/entity/Q43048,t2258334260,t2258334268
