item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissance,date_mort,lieu_mort,pere,mere
http://www.wikidata.org/entity/Q2531620,Pamprépios,,,,,masculin,0440-09-29T00:00:00Z,http://www.wikidata.org/entity/Q340572,0484-11-01T00:00:00Z,http://www.wikidata.org/entity/Q3894916,,
http://www.wikidata.org/entity/Q2595580,Abudimus,,,,,masculin,0201-01-01T00:00:00Z,http://www.wikidata.org/entity/Q211817,0305-01-01T00:00:00Z,http://www.wikidata.org/entity/Q211817,,
http://www.wikidata.org/entity/Q2628084,Caprais d'Agen,,,,,masculin,0250-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6625,0303-01-01T00:00:00Z,http://www.wikidata.org/entity/Q6625,,
http://www.wikidata.org/entity/Q2661056,Rufius Antonius Agrypnius Volusianus,,Antonius,,Antonii,masculin,0370-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0437-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16869,http://www.wikidata.org/entity/Q3625256,
http://www.wikidata.org/entity/Q2661056,Rufius Antonius Agrypnius Volusianus,,Rufius,,Antonii,masculin,0370-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0437-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16869,http://www.wikidata.org/entity/Q3625256,
http://www.wikidata.org/entity/Q2661056,Rufius Antonius Agrypnius Volusianus,,Antonius,,Rufii,masculin,0370-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0437-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16869,http://www.wikidata.org/entity/Q3625256,
http://www.wikidata.org/entity/Q2661056,Rufius Antonius Agrypnius Volusianus,,Rufius,,Rufii,masculin,0370-01-01T00:00:00Z,http://www.wikidata.org/entity/Q220,0437-01-01T00:00:00Z,http://www.wikidata.org/entity/Q16869,http://www.wikidata.org/entity/Q3625256,
http://www.wikidata.org/entity/Q2664676,Nicaise,,,,,masculin,0301-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41876,0407-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41876,,
http://www.wikidata.org/entity/Q2664676,Nicaise,,,,,masculin,0350-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41876,0407-01-01T00:00:00Z,http://www.wikidata.org/entity/Q41876,,
http://www.wikidata.org/entity/Q2696736,Aristaenetus,,,,,masculin,0364-01-01T00:00:00Z,http://www.wikidata.org/entity/Q622032,t2265827687,,http://www.wikidata.org/entity/Q25443401,http://www.wikidata.org/entity/Q25443395
