item,epouse
http://www.wikidata.org/entity/Q170026,http://www.wikidata.org/entity/Q232329
http://www.wikidata.org/entity/Q170512,t291183301
http://www.wikidata.org/entity/Q171023,http://www.wikidata.org/entity/Q383304
http://www.wikidata.org/entity/Q171083,http://www.wikidata.org/entity/Q4066696
http://www.wikidata.org/entity/Q172168,http://www.wikidata.org/entity/Q234562
http://www.wikidata.org/entity/Q172248,http://www.wikidata.org/entity/Q255448
http://www.wikidata.org/entity/Q172248,http://www.wikidata.org/entity/Q17428083
http://www.wikidata.org/entity/Q172471,http://www.wikidata.org/entity/Q272630
http://www.wikidata.org/entity/Q174265,http://www.wikidata.org/entity/Q12902065
http://www.wikidata.org/entity/Q174536,t2254379168
http://www.wikidata.org/entity/Q175121,http://www.wikidata.org/entity/Q12271314
http://www.wikidata.org/entity/Q176122,t1390590825
http://www.wikidata.org/entity/Q177975,http://www.wikidata.org/entity/Q255870
http://www.wikidata.org/entity/Q177980,http://www.wikidata.org/entity/Q2275435
http://www.wikidata.org/entity/Q180081,http://www.wikidata.org/entity/Q435959
http://www.wikidata.org/entity/Q180081,http://www.wikidata.org/entity/Q1281529
http://www.wikidata.org/entity/Q182070,http://www.wikidata.org/entity/Q45535
http://www.wikidata.org/entity/Q184549,http://www.wikidata.org/entity/Q238023
http://www.wikidata.org/entity/Q185476,http://www.wikidata.org/entity/Q3898864
http://www.wikidata.org/entity/Q185519,t2254348066
http://www.wikidata.org/entity/Q185538,http://www.wikidata.org/entity/Q7089020
http://www.wikidata.org/entity/Q187004,t2254489037
http://www.wikidata.org/entity/Q188646,http://www.wikidata.org/entity/Q12898817
http://www.wikidata.org/entity/Q189108,http://www.wikidata.org/entity/Q437472
http://www.wikidata.org/entity/Q190097,http://www.wikidata.org/entity/Q2337379
http://www.wikidata.org/entity/Q191039,http://www.wikidata.org/entity/Q229413
http://www.wikidata.org/entity/Q191940,http://www.wikidata.org/entity/Q232329
http://www.wikidata.org/entity/Q191940,http://www.wikidata.org/entity/Q29827820
http://www.wikidata.org/entity/Q192998,http://www.wikidata.org/entity/Q12296044
