item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q53862726,Gaius Aburius Geminus,Caius,Aburius,Geminus,Aburii,masculin,-0200-01-01T00:00:00Z,t1006448984,t1006448995,t1006448985,t1006448999,t1006448988
http://www.wikidata.org/entity/Q65619947,Duronia,,Duronia,,Duronii,féminin,-0300-01-01T00:00:00Z,t2249425792,-0200-01-01T00:00:00Z,t2249425798,t2249425797,t2249425795
http://www.wikidata.org/entity/Q71132600,Rabiria,,Rabiria,,Rabirii,féminin,-0200-01-01T00:00:00Z,Rome antique,t1584589362,t1584589369,t1584589361,t1584589360
http://www.wikidata.org/entity/Q73359480,Tiberius Sempronius,Tiberius,Sempronius,,Sempronii,masculin,t496889991,t496889992,t496889988,t496889984,http://www.wikidata.org/entity/Q73360721,t496889982
http://www.wikidata.org/entity/Q73360721,Tiberius Sempronius,Tiberius,Sempronius,,Sempronii,masculin,t216805721,t216805716,t216805725,t216805723,t216805724,t216805717
http://www.wikidata.org/entity/Q75273763,Lucius Fulcinius,Lucius,Fulcinius,,Fulcinii,masculin,-0200-01-01T00:00:00Z,t2130579330,t2130579302,t2130579348,t2130579296,t2130579322
http://www.wikidata.org/entity/Q89588511,Lucius Julius Caesar,Lucius,Julius,Caesar,Julii,masculin,-0300-01-01T00:00:00Z,t2236806784,t2236806786,t2236806785,http://www.wikidata.org/entity/Q324602,t2236806779
http://www.wikidata.org/entity/Q92430378,Gratidius,t1367829112,Gratidius,,Gratidii,masculin,-0200-01-01T00:00:00Z,Arpino,t1367829115,t1367829120,t1367829114,t1367829113
http://www.wikidata.org/entity/Q92435761,Helvius,t546783333,Helvius,,Helvii,masculin,-0200-01-01T00:00:00Z,Arpino,t546783326,t546783328,t546783329,t546783336
http://www.wikidata.org/entity/Q93966288,Lusius,t2267355019,Lusius,,Lusii,masculin,-0200-01-01T00:00:00Z,t2267355018,t2267355023,t2267355021,t2267355020,t2267355026
http://www.wikidata.org/entity/Q94697095,Marcus Antonius,Marcus,Antonius,,Antonii,masculin,-0200-01-01T00:00:00Z,t1101646734,t1101646745,t1101646751,http://www.wikidata.org/entity/Q12286050,t1101646739
http://www.wikidata.org/entity/Q97015928,Publius Popillius,Publius,Popillius,,Popillii,masculin,-0300-01-01T00:00:00Z,t277075795,t277075750,t277075753,t277075685,t277075725
http://www.wikidata.org/entity/Q97015935,Publius Popillius Laenas,Publius,Popillius,Laenas,Popillii,masculin,-0300-01-01T00:00:00Z,t831878298,t831878289,t831878256,http://www.wikidata.org/entity/Q97015928,t831878332
http://www.wikidata.org/entity/Q97016045,Gaius Popillius Laenas,Caius,Popillius,Laenas,Popillii,masculin,-0200-01-01T00:00:00Z,t831878276,t831878233,t831878373,http://www.wikidata.org/entity/Q464897,t831878296
http://www.wikidata.org/entity/Q97077132,Q97077132,Marcus,Popillius,,Popillii,masculin,-0300-01-01T00:00:00Z,t1647946833,t1647946887,t1647946819,t1647946882,t1647946878
http://www.wikidata.org/entity/Q97077195,Marco Popilio,Marcus,Popillius,,Popillii,masculin,-0300-01-01T00:00:00Z,t1105848035,t1105848049,t1105848037,http://www.wikidata.org/entity/Q97077132,t1105848106
http://www.wikidata.org/entity/Q97107386,Tito Popilio,Titus,Popillius,,Popillii,masculin,-0300-01-01T00:00:00Z,t1647946852,t1647946865,t1647946902,t1647946886,t1647946829
http://www.wikidata.org/entity/Q97139304,Aulus Hostilius,Aulus,Hostilius,,Hostilii,masculin,-0300-01-01T00:00:00Z,t1647946830,t1647946904,t1647946817,t1647946834,t1647946873
http://www.wikidata.org/entity/Q97139370,Lucius Hostilius Mancinus,Lucius,Hostilius,Mancinus,Hostilii,masculin,-0300-01-01T00:00:00Z,t832072606,-0216-01-01T00:00:00Z,t832072522,http://www.wikidata.org/entity/Q97139304,t832072524
http://www.wikidata.org/entity/Q97156654,Lucius Hostilius Mancinus,Lucius,Hostilius,Mancinus,Hostilii,masculin,t556515063,t556515043,-0200-01-01T00:00:00Z,t556515003,http://www.wikidata.org/entity/Q97139370,t556515041
http://www.wikidata.org/entity/Q97211099,Paulla Cornelia,Paulla,Cornelia,,Cornelii,féminin,,,,,,
http://www.wikidata.org/entity/Q97290215,Aulus Hostilius Mancinus,Aulus,Hostilius,Mancinus,Hostilii,masculin,-0200-01-01T00:00:00Z,t1917341853,t1917341828,t1917341879,http://www.wikidata.org/entity/Q772811,t1917341819
http://www.wikidata.org/entity/Q97489697,Hostilius Cato,t556838024,Hostilius,Cato,Hostilii,masculin,-0300-01-01T00:00:00Z,t556838011,t556838019,t556838006,t556837996,t556838015
http://www.wikidata.org/entity/Q97608716,Caius Sempronius,Caius,Sempronius,,Sempronii,masculin,t1648595508,t1648595544,-0300-01-01T00:00:00Z,t1648595516,http://www.wikidata.org/entity/Q97622696,t1648595489
http://www.wikidata.org/entity/Q97608851,Gaius Sempronius,Caius,Sempronius,,Sempronii,masculin,-0300-01-01T00:00:00Z,t1106342487,t1106342459,t1106342411,http://www.wikidata.org/entity/Q97608716,t1106342531
http://www.wikidata.org/entity/Q97622696,Caius Sempronius,Caius,Sempronius,,Sempronii,masculin,-0400-01-01T00:00:00Z,t1917810194,t1917810261,t1917810209,t1917810211,t1917810143
http://www.wikidata.org/entity/Q97622720,Tiberius Sempronius,Tiberius,Sempronius,,Sempronii,masculin,t557208104,t557208106,-0300-01-01T00:00:00Z,t557208113,http://www.wikidata.org/entity/Q97622696,t557208107
http://www.wikidata.org/entity/Q97622924,Publius Sempronius Gracchus,Publius,Sempronius,Gracchus,Sempronii,masculin,-0300-01-01T00:00:00Z,t2185926954,t2185926967,t2185926914,http://www.wikidata.org/entity/Q1284899,t2185926901
http://www.wikidata.org/entity/Q97666879,Marcus Sempronius,Marcus,Sempronius,,Sempronii,masculin,-0400-01-01T00:00:00Z,t557208163,-0300-01-01T00:00:00Z,t557208146,t557208148,t557208162
http://www.wikidata.org/entity/Q97666929,Gaius Sempronius Tuditanus,Caius,Sempronius,Tuditanus,Sempronii,masculin,t1918000707,t1918000741,-0300-01-01T00:00:00Z,t1918000695,http://www.wikidata.org/entity/Q97666879,t1918000727
http://www.wikidata.org/entity/Q97666961,Gaius Sempronius Tuditanus,Caius,Sempronius,Tuditanus,Sempronii,masculin,-0300-01-01T00:00:00Z,t832677621,t832677558,t832677582,http://www.wikidata.org/entity/Q97666929,t832677602
http://www.wikidata.org/entity/Q97667140,Marcus Sempronius Tuditanus,Marcus,Sempronius,Tuditanus,Sempronii,masculin,-0300-01-01T00:00:00Z,t832677632,t832677596,t832677624,http://www.wikidata.org/entity/Q97666961,t832677569
http://www.wikidata.org/entity/Q97670893,Publio Sempronio,Publius,Sempronius,,Sempronii,masculin,-0300-01-01T00:00:00Z,t1918000710,t1918000702,t1918000717,t1918000719,t1918000693
http://www.wikidata.org/entity/Q97684608,Sempronius Rutilus,t1106542968,Sempronius,Rutilus,Sempronii,masculin,-0300-01-01T00:00:00Z,t1106542941,t1106542970,t1106542964,t1106542958,t1106542976
http://www.wikidata.org/entity/Q97684806,Titus Sempronius Rutilus,Titus,Sempronius,Rutilus,Sempronii,masculin,-0300-01-01T00:00:00Z,t1378116985,-0200-01-01T00:00:00Z,t1378116974,http://www.wikidata.org/entity/Q97684608,t1378116988
http://www.wikidata.org/entity/Q97720994,Q97720994,Caius,Sempronius,,Sempronii,masculin,t1648794435,t1648794440,-0200-01-01T00:00:00Z,t1648794462,t1648794451,t1648794464
http://www.wikidata.org/entity/Q97722876,Q97722876,Lucius,Sempronius,,Sempronii,masculin,-0300-01-01T00:00:00Z,t1918000686,t1918000733,t1918000725,t1918000714,t1918000738
http://www.wikidata.org/entity/Q97723072,Cayo Sempronio,Caius,Sempronius,,Sempronii,masculin,t832878318,t832878344,-0200-01-01T00:00:00Z,t832878314,http://www.wikidata.org/entity/Q97722876,t832878352
http://www.wikidata.org/entity/Q97723764,Q97723764,Aulus,Sempronius,,Sempronii,masculin,t557208108,t557208147,-0200-01-01T00:00:00Z,t557208161,t557208120,t557208125
http://www.wikidata.org/entity/Q97725518,Tito Sempronio Musca,Titus,Sempronius,Musca,Sempronii,masculin,t1378331902,t1378331940,-0200-01-01T00:00:00Z,t1378331900,t1378331960,t1378331898
http://www.wikidata.org/entity/Q97793769,Lucius Sempronius Pitio,Lucius,Sempronius,Pitio,Sempronii,masculin,-0200-01-01T00:00:00Z,t2186122507,t2186122479,t2186122448,t2186122457,t2186122504
http://www.wikidata.org/entity/Q97824075,Ebucia,,Aebutia,,Aebutii,féminin,-0300-01-01T00:00:00Z,t278161464,-0200-01-01T00:00:00Z,t278161450,http://www.wikidata.org/entity/Q97824081,t278161457
http://www.wikidata.org/entity/Q97824081,Q97824081,t832878331,Aebutius,,Aebutii,masculin,-0300-01-01T00:00:00Z,t832878319,t832878353,t832878300,t832878332,t832878337
http://www.wikidata.org/entity/Q97824086,Q97824086,t1378331896,Aebutius,,Aebutii,masculin,-0300-01-01T00:00:00Z,t1378331933,t1378331938,t1378331957,http://www.wikidata.org/entity/Q97824081,t1378331948
http://www.wikidata.org/entity/Q97824241,Publio Ebucio,Publius,Aebutius,,Aebutii,masculin,-0300-01-01T00:00:00Z,t1648794439,-0200-01-01T00:00:00Z,t1648794486,http://www.wikidata.org/entity/Q97824086,http://www.wikidata.org/entity/Q65619947
http://www.wikidata.org/entity/Q99236295,Tiberius Claudius Nero,Tiberius,Claudius,Nero,Claudii,masculin,,Rome antique,,t1380616684,http://www.wikidata.org/entity/Q297783,t1380616701
http://www.wikidata.org/entity/Q99896748,Q99896748,t1652164738,Cincius,Q99895922,Cincii,masculin,-0300-01-01T00:00:00Z,t1652164750,t1652164749,t1652164751,t1652164734,t1652164741
http://www.wikidata.org/entity/Q101071804,Junia,,Junia,,Junii,féminin,,Rome antique,,t1922838432,http://www.wikidata.org/entity/Q3656292,t1922838439
http://www.wikidata.org/entity/Q102316081,Calpurnius Crassus,t838362573,Calpurnius,Crassus,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0300-01-01T00:00:00Z,t838362576,t838362565,t838362575
http://www.wikidata.org/entity/Q102349521,Caius Calpurnius,Caius,Calpurnius,,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,t1383855372,t1383855375,t1383855364,t1383855362
http://www.wikidata.org/entity/Q102350968,Cnaeus Calpurnius Piso,Cnaeus,Calpurnius,Piso,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,t2191732340,t2191732360,http://www.wikidata.org/entity/Q102349608,t2191732347
http://www.wikidata.org/entity/Q102390583,Decimus Junius Silanus,Decimus,Junius,Silanus,Junii,masculin,,Rome antique,,t2234357643,http://www.wikidata.org/entity/Q1528929,t2234357637
http://www.wikidata.org/entity/Q102417058,Cnaeus Calpurnius Piso,Cnaeus,Calpurnius,Piso,Calpurnii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t1654364831,http://www.wikidata.org/entity/Q102350968,t1654364817
http://www.wikidata.org/entity/Q103821041,Quintus Antonius,Quintus,Antonius,,Antonii,masculin,-0300-01-01T00:00:00Z,Rome antique,-0200-01-01T00:00:00Z,t1654722125,t1654722130,t1654722144
http://www.wikidata.org/entity/Q103821055,Aulus Antonius,Aulus,Antonius,,Antonii,masculin,t1654722134,Rome antique,-0200-01-01T00:00:00Z,t1654722120,t1654722131,t1654722164
http://www.wikidata.org/entity/Q104698660,Gnaeus Cornelius Rufinus,Cnaeus,Cornelius,Rufinus,Cornelii,masculin,,,,,http://www.wikidata.org/entity/Q1091296,
http://www.wikidata.org/entity/Q105533524,Gaius Maianius,Caius,Maianius,,Maiania gens,masculin,,,,,,
