item,itemLabel,praenomenLabel,nomenLabel,cognomenLabel,gensLabel,sexeLabel,date_naissance,lieu_naissanceLabel,date_mort,lieu_mortLabel,pere,mere
http://www.wikidata.org/entity/Q295509,Laurent,,,,,masculin,0500-01-01T00:00:00Z,,0507-01-01T00:00:00Z,Rome,,
http://www.wikidata.org/entity/Q168707,Pline le Jeune,Caius,Caecilius,Secundus,Caecilii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
http://www.wikidata.org/entity/Q168707,Pline le Jeune,Caius,Plinius,Secundus,Caecilii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
http://www.wikidata.org/entity/Q168707,Pline le Jeune,Caius,Caecilius,Secundus,Plinii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
http://www.wikidata.org/entity/Q168707,Pline le Jeune,Caius,Plinius,Secundus,Plinii,masculin,0061-01-01T00:00:00Z,Côme,0113-01-01T00:00:00Z,Bithynie,,
http://www.wikidata.org/entity/Q46734,Constantin II,,Claudius,Constantinus,Claudii,masculin,0316-02-01T00:00:00Z,Arles,0340-04-01T00:00:00Z,Aquilée,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/entity/Q231063
http://www.wikidata.org/entity/Q46750,Valérien,,,,,masculin,0200-01-01T00:00:00Z,,0260-01-01T00:00:00Z,Bishapour,,
http://www.wikidata.org/entity/Q294846,Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2285550747,http://www.wikidata.org/entity/Q723230,http://www.wikidata.org/entity/Q432130
http://www.wikidata.org/entity/Q294846,Decimus Junius Brutus Albinus,Decimus,Junius,Brutus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2285550747,http://www.wikidata.org/entity/Q723230,http://www.wikidata.org/entity/Q432130
http://www.wikidata.org/entity/Q294846,Decimus Junius Brutus Albinus,Decimus,Junius,Albinus,Junii,masculin,-0084-01-01T00:00:00Z,Rome,-0042-01-01T00:00:00Z,t2285550747,http://www.wikidata.org/entity/Q1181848,http://www.wikidata.org/entity/Q432130
