item,positionLabel
http://www.wikidata.org/entity/Q1048,consul
http://www.wikidata.org/entity/Q1048,préteur
http://www.wikidata.org/entity/Q1048,questeur
http://www.wikidata.org/entity/Q1048,pontifex maximus
http://www.wikidata.org/entity/Q1048,dictateur
http://www.wikidata.org/entity/Q1048,pontife
http://www.wikidata.org/entity/Q1048,gouverneur romain
http://www.wikidata.org/entity/Q1048,flamine de Jupiter
http://www.wikidata.org/entity/Q1048,édile curule
http://www.wikidata.org/entity/Q1048,sénateur romain
http://www.wikidata.org/entity/Q1398,
http://www.wikidata.org/entity/Q1405,consul
http://www.wikidata.org/entity/Q1405,censeur
http://www.wikidata.org/entity/Q1405,Tribun
http://www.wikidata.org/entity/Q1405,pontifex maximus
http://www.wikidata.org/entity/Q1405,empereur romain
http://www.wikidata.org/entity/Q1405,sénateur romain
http://www.wikidata.org/entity/Q1405,triumvir rei publicae constituendae
http://www.wikidata.org/entity/Q1407,consul
http://www.wikidata.org/entity/Q1407,empereur romain
http://www.wikidata.org/entity/Q1407,sénateur romain
http://www.wikidata.org/entity/Q1409,consul
http://www.wikidata.org/entity/Q1409,empereur romain
http://www.wikidata.org/entity/Q1409,sénateur romain
http://www.wikidata.org/entity/Q1411,consul
http://www.wikidata.org/entity/Q1411,censeur
http://www.wikidata.org/entity/Q1411,empereur romain
http://www.wikidata.org/entity/Q1411,sénateur romain
http://www.wikidata.org/entity/Q1414,consul
http://www.wikidata.org/entity/Q1414,empereur romain
http://www.wikidata.org/entity/Q1414,gouverneur romain
http://www.wikidata.org/entity/Q1414,sénateur romain
http://www.wikidata.org/entity/Q1416,empereur romain
http://www.wikidata.org/entity/Q1416,gouverneur romain
http://www.wikidata.org/entity/Q1416,sénateur romain
http://www.wikidata.org/entity/Q1417,consul
http://www.wikidata.org/entity/Q1417,empereur romain
http://www.wikidata.org/entity/Q1417,sénateur romain
http://www.wikidata.org/entity/Q1419,consul
http://www.wikidata.org/entity/Q1419,préteur
http://www.wikidata.org/entity/Q1419,empereur romain
http://www.wikidata.org/entity/Q1419,sénateur romain
http://www.wikidata.org/entity/Q1419,édile plébéien
http://www.wikidata.org/entity/Q1421,consul
http://www.wikidata.org/entity/Q1421,préfet du prétoire
http://www.wikidata.org/entity/Q1421,empereur romain
http://www.wikidata.org/entity/Q1421,sénateur romain
http://www.wikidata.org/entity/Q1424,consul
http://www.wikidata.org/entity/Q1424,empereur romain
http://www.wikidata.org/entity/Q1424,sénateur romain
http://www.wikidata.org/entity/Q1425,consul
http://www.wikidata.org/entity/Q1425,préteur
http://www.wikidata.org/entity/Q1425,empereur romain
http://www.wikidata.org/entity/Q1425,gouverneur romain
http://www.wikidata.org/entity/Q1425,sénateur romain
http://www.wikidata.org/entity/Q1427,archonte éponyme
http://www.wikidata.org/entity/Q1427,empereur romain
http://www.wikidata.org/entity/Q1427,tribun de la plèbe
http://www.wikidata.org/entity/Q1427,sénateur romain
http://www.wikidata.org/entity/Q1429,consul
http://www.wikidata.org/entity/Q1429,empereur romain
http://www.wikidata.org/entity/Q1429,sénateur romain
http://www.wikidata.org/entity/Q1430,consul
http://www.wikidata.org/entity/Q1430,questeur
http://www.wikidata.org/entity/Q1430,empereur romain
http://www.wikidata.org/entity/Q1430,sénateur romain
http://www.wikidata.org/entity/Q1433,consul
http://www.wikidata.org/entity/Q1433,empereur romain
http://www.wikidata.org/entity/Q1433,sénateur romain
http://www.wikidata.org/entity/Q1434,consul
http://www.wikidata.org/entity/Q1434,empereur romain
http://www.wikidata.org/entity/Q1434,sénateur romain
http://www.wikidata.org/entity/Q1436,préfet de Rome
http://www.wikidata.org/entity/Q1436,empereur romain
http://www.wikidata.org/entity/Q1436,gouverneur romain
http://www.wikidata.org/entity/Q1436,proconsul
http://www.wikidata.org/entity/Q1436,sénateur romain
http://www.wikidata.org/entity/Q1440,consul
http://www.wikidata.org/entity/Q1440,empereur romain
http://www.wikidata.org/entity/Q1440,sénateur romain
http://www.wikidata.org/entity/Q1442,consul
http://www.wikidata.org/entity/Q1442,préteur
http://www.wikidata.org/entity/Q1442,questeur
http://www.wikidata.org/entity/Q1442,légat
http://www.wikidata.org/entity/Q1442,consul suffect
http://www.wikidata.org/entity/Q1442,empereur romain
http://www.wikidata.org/entity/Q1442,gouverneur romain
http://www.wikidata.org/entity/Q1442,tribun de la plèbe
http://www.wikidata.org/entity/Q1442,sénateur romain
http://www.wikidata.org/entity/Q1446,consul
http://www.wikidata.org/entity/Q1446,empereur romain
http://www.wikidata.org/entity/Q1446,sénateur romain
http://www.wikidata.org/entity/Q1541,consul
http://www.wikidata.org/entity/Q1541,préteur
http://www.wikidata.org/entity/Q1541,questeur
http://www.wikidata.org/entity/Q1541,augure
http://www.wikidata.org/entity/Q1541,gouverneur romain
http://www.wikidata.org/entity/Q1541,sénateur romain
http://www.wikidata.org/entity/Q1541,édile plébéien
http://www.wikidata.org/entity/Q1752,préfet du prétoire
http://www.wikidata.org/entity/Q46762,empereur romain
http://www.wikidata.org/entity/Q46762,sénateur romain
http://www.wikidata.org/entity/Q46768,consul
http://www.wikidata.org/entity/Q46768,empereur romain
http://www.wikidata.org/entity/Q46768,sénateur romain
http://www.wikidata.org/entity/Q46780,consul
http://www.wikidata.org/entity/Q46780,empereur romain
http://www.wikidata.org/entity/Q46780,sénateur romain
http://www.wikidata.org/entity/Q46814,empereur romain
http://www.wikidata.org/entity/Q46814,sénateur romain
http://www.wikidata.org/entity/Q46821,empereur romain
http://www.wikidata.org/entity/Q46821,sénateur romain
http://www.wikidata.org/entity/Q46837,empereur romain
http://www.wikidata.org/entity/Q46840,César
http://www.wikidata.org/entity/Q46846,empereur romain
http://www.wikidata.org/entity/Q46846,sénateur romain
http://www.wikidata.org/entity/Q47130,
http://www.wikidata.org/entity/Q47144,pape
http://www.wikidata.org/entity/Q47154,
http://www.wikidata.org/entity/Q47160,
http://www.wikidata.org/entity/Q47163,
http://www.wikidata.org/entity/Q47180,consul
http://www.wikidata.org/entity/Q47180,gouverneur romain
http://www.wikidata.org/entity/Q47180,sénateur romain
http://www.wikidata.org/entity/Q48174,consul
http://www.wikidata.org/entity/Q48174,gouverneur romain
http://www.wikidata.org/entity/Q48174,sénateur romain
http://www.wikidata.org/entity/Q48438,
http://www.wikidata.org/entity/Q51380,consul
