itemLabel,occupationLabel
Jules César,écrivain
Jules César,poète
Jules César,personnalité politique
Jules César,dirigeant
Jules César,chef militaire
Jules César,prêtre romain
Jules César,mémorialiste
Jules César,orateur
Jules César,homme politique de la Rome antique
Jules César,militaire
Jules César,historien romain de l'antiquité
Virgile,poète
Auguste,homme politique de la Rome antique
Auguste,militaire
Tibère,personnalité politique
Tibère,soldat
Caligula,personnalité politique
Claude,écrivain
Claude,personnalité politique
Claude,historien
Claude,augure
Galba,militaire
Galba,personnalité politique
Othon,personnalité politique
Vitellius,militaire
Vitellius,personnalité politique
Vespasien,militaire
Vespasien,personnalité politique
Titus,militaire
Titus,personnalité politique
Nerva,personnalité politique
Trajan,personnalité politique
Trajan,officier
Trajan,homme d'État
Hadrien,militaire
Hadrien,poète
Hadrien,personnalité politique
Hadrien,souverain
Antonin le Pieux,personnalité politique
Marc Aurèle,écrivain
Marc Aurèle,personnalité politique
Marc Aurèle,philosophe
Lucius Verus,personnalité politique
Commode,dirigeant
Pertinax,personnalité politique
Pertinax,soldat
Didius Julianus,militaire
Didius Julianus,personnalité politique
Septime Sévère,militaire
Septime Sévère,personnalité politique
Caracalla,personnalité politique
Cicéron,écrivain
Cicéron,avocat
Cicéron,poète
Cicéron,personnalité politique
Cicéron,juriste
Cicéron,prêtre romain
Cicéron,philosophe
Cicéron,orateur
Cicéron,théoricien politique
Cicéron,homme politique de la Rome antique
Cicéron,militaire
Macrin,avocat
Macrin,personnalité politique
Héliogabale,personnalité politique
Sévère Alexandre,personnalité politique
Maximin Ier le Thrace,personnalité politique
Gordien Ier,militaire
Maxime Pupien,personnalité politique
Gordien II,militaire
Gordien II,personnalité politique
Balbin,personnalité politique
Gordien III,personnalité politique
Philippe l'Arabe,personnalité politique
Dèce,personnalité politique
Tite-Live,écrivain
Tite-Live,poète
Tite-Live,historien
Sénèque,écrivain
Sénèque,poète
Sénèque,personnalité politique
Sénèque,dramaturge
Sénèque,homme d'État
Sénèque,aphoriste
Sénèque,philosophe
Martial,écrivain
Martial,poète
Tacite,écrivain
Tacite,militaire
Tacite,poète
Tacite,personnalité politique
Tacite,juriste
Tacite,historien
Tacite,biographe
Tacite,philosophe
Tacite,annaliste
Romulus,homme politique de la Rome antique
Romulus,militaire
Scipion l'Africain,homme politique de la Rome antique
Scipion l'Africain,militaire
Claude II le Gothique,militaire
Claude II le Gothique,personnalité politique
Maximien Hercule,personnalité politique
Aurélien,personnalité politique
Sévère,personnalité politique
Numérien,personnalité politique
Hostilien,dirigeant
Diaduménien,dirigeant
Valentinien II,personnalité politique
Ennius,écrivain
Ennius,poète
Ennius,dramaturge
Ennius,annaliste
Ennius,historien romain de l'antiquité
Lin,clerc
Lucrèce,écrivain
Lucrèce,poète
Lucrèce,philosophe
Plaute,acteur
Plaute,poète
Plaute,dramaturge
Plaute,auteur comique
Vitruve,écrivain
Vitruve,architecte
Vitruve,militaire
Vitruve,ingénieur militaire
Vitruve,ingénieur civil
Pétrone,écrivain
Pétrone,militaire
Pétrone,poète
Pétrone,personnalité politique
Pétrone,philosophe
Marcus Vipsanius Agrippa,écrivain
Marcus Vipsanius Agrippa,architecte
Marcus Vipsanius Agrippa,homme politique de la Rome antique
Marcus Vipsanius Agrippa,militaire
Georges de Lydda,dragonslayer
Georges de Lydda,soldat
Publius Cornelius Lentulus Spinther,homme politique de la Rome antique
Publius Cornelius Lentulus Spinther,militaire
Marc Antoine,homme politique de la Rome antique
Marc Antoine,militaire
Phèdre,écrivain
Phèdre,poète
Corneille,prêtre catholique
Corneille,auteur
Diogène d'Œnoanda,philosophe
Diogène Laërce,écrivain
Diogène Laërce,poète
Diogène Laërce,historien
Diogène Laërce,biographe
Diogène Laërce,philosophe
Diogène Laërce,historien de la philosophie
Marcus Aemilius Barbula Papus,homme politique de la Rome antique
Arcadius of Antioch,écrivain
Lucius Neratius Priscus,personnalité politique
Lucius Neratius Priscus,soldat
Gnaeus Domitius Calvinus,homme politique de la Rome antique
Gnaeus Domitius Calvinus,militaire
Faustina,dirigeant
Marcus Geganius Macerinus,homme politique de la Rome antique
Marcus Geganius Macerinus,militaire
Arminius,chef de guerre
Caius Julius Caesar,homme politique de la Rome antique
Cluvius Rufus,écrivain
Cluvius Rufus,militaire
Cluvius Rufus,personnalité politique
Cluvius Rufus,historien
Catilina,homme politique de la Rome antique
Cécile de Rome,musicien
Caius Bellicus Natalis,personnalité politique
Pline l'Ancien,naturaliste
Pline l'Ancien,écrivain
Pline l'Ancien,militaire
Pline l'Ancien,poète
Pline l'Ancien,historien
Pline l'Ancien,philosophe
Publius Sempronius Sophus,homme politique de la Rome antique
Publius Sempronius Sophus,militaire
Lucius Postumius Megellus,homme politique de la Rome antique
Lucius Postumius Megellus,militaire
Marcel Ier,prêtre catholique
Jules Ier,pape
Jules Ier,écrivain
Jules Ier,prêtre catholique
Julius Nepos,personnalité politique
Gallien,poète
Gallien,homme politique de la Rome antique
Gallien,militaire
Lépide,homme politique de la Rome antique
Lépide,militaire
Arius,ascète
Arius,presbytre
Arius,théologien
Cornélius Népos,écrivain
Cornélius Népos,poète
Cornélius Népos,historien
Cornélius Népos,biographe
Cornélius Népos,historien romain de l'antiquité
Tibulle,poète
Simplice,prêtre catholique
Simplice,clerc
Valentinien III,monarque
Valentinien III,personnalité politique
Hélène,personnalité politique
Origène,écrivain
Origène,traducteur
Origène,théologien
Origène,clerc
Origène,philosophe
Apulée,écrivain
Apulée,poète
Apulée,philosophe
Apulée,romancier
Antoine le Grand,écrivain
Antoine le Grand,anachorète
Antoine le Grand,moine chrétien
Trébonien Galle,personnalité politique
Lucius Cornelius Cinna,homme politique de la Rome antique
Lucius Cornelius Cinna,militaire
Antinoüs,Favori
Térence,poète
Térence,auteur comique
Galère,personnalité politique
Ammien Marcellin,écrivain
Ammien Marcellin,poète
Ammien Marcellin,historien
Ammien Marcellin,soldat
Marcus Junius Brutus,poète
Marcus Junius Brutus,philosophe
Marcus Junius Brutus,homme politique de la Rome antique
Valens,personnalité politique
Valens,officier
Marcus Fulvius Flaccus Bambalio,homme politique de la Rome antique
Marcus Fulvius Flaccus Bambalio,militaire
Placidia,
Lucius Cornelius Lentulus,homme politique de la Rome antique
